fold,y_test,y_pred
1,0.0,0.11547204
1,0.0,0.20739096
1,0.0,0.16698724
1,0.0,0.1439108
1,0.0,0.47258598
1,1.0,0.40170577
1,0.0,0.11828837
1,0.0,0.089216046
1,1.0,0.1989458
1,0.0,0.07552645
1,0.0,0.085358515
1,1.0,0.4548978
1,1.0,0.7586272
1,0.0,0.44616336
1,0.0,0.37431452
1,0.0,0.17553288
1,0.0,0.39532036
1,0.0,0.26714018
1,0.0,0.15112215
1,0.0,0.3368544
1,0.0,0.057352375
1,0.0,0.2620306
1,1.0,0.119756766
1,1.0,0.27170068
1,0.0,0.3659144
1,1.0,0.3260847
1,1.0,0.18416847
1,0.0,0.049575202
1,0.0,0.024581816
1,0.0,0.1508954
1,1.0,0.5934039
1,1.0,0.57043916
1,1.0,0.241202
1,1.0,0.247533
1,1.0,0.15988302
1,0.0,0.33525026
1,1.0,0.07400071
1,0.0,0.18478748
1,0.0,0.13064808
1,0.0,0.16446254
1,1.0,0.15756193
1,0.0,0.410712
1,0.0,0.58887935
1,0.0,0.6410509
1,0.0,0.115228765
1,0.0,0.062830344
1,0.0,0.27056286
1,0.0,0.093782015
1,0.0,0.52774745
1,0.0,0.3317683
1,0.0,0.1470386
1,0.0,0.37537348
1,1.0,0.74443686
1,0.0,0.050681207
1,0.0,0.04943329
1,1.0,0.7049024
1,0.0,0.037842907
1,0.0,0.017492617
1,0.0,0.4181813
1,0.0,0.272215
1,0.0,0.43502256
1,0.0,0.20688097
1,0.0,0.11769222
1,0.0,0.20018823
1,0.0,0.082451865
1,0.0,0.058166876
1,0.0,0.022061957
1,0.0,0.33324817
1,0.0,0.04426115
1,0.0,0.25905204
1,0.0,0.39730152
2,0.0,0.4659668
2,1.0,0.3275477
2,1.0,0.081452
2,1.0,0.23537463
2,0.0,0.2310843
2,0.0,0.239336
2,0.0,0.10217053
2,0.0,0.06405984
2,0.0,0.25271598
2,0.0,0.14553887
2,1.0,0.17894271
2,1.0,0.20478262
2,0.0,0.34001562
2,0.0,0.3103296
2,0.0,0.092112646
2,0.0,0.16795917
2,0.0,0.5111085
2,1.0,0.36964193
2,0.0,0.110668086
2,1.0,0.37145257
2,1.0,0.29485303
2,0.0,0.14824294
2,0.0,0.25008476
2,0.0,0.4809765
2,0.0,0.084645376
2,0.0,0.12533465
2,0.0,0.23220041
2,0.0,0.15540163
2,0.0,0.1344421
2,0.0,0.31247377
2,1.0,0.20600732
2,1.0,0.28054053
2,0.0,0.07305704
2,0.0,0.051173873
2,1.0,0.2640531
2,0.0,0.11426669
2,1.0,0.4233465
2,0.0,0.14037406
2,0.0,0.0544299
2,0.0,0.037758026
2,0.0,0.13095789
2,1.0,0.53518945
2,0.0,0.16142234
2,1.0,0.7521544
2,1.0,0.15192536
2,0.0,0.22865397
2,0.0,0.1045783
2,0.0,0.045159303
2,0.0,0.16259542
2,0.0,0.06907194
2,1.0,0.5386171
2,1.0,0.6968582
2,1.0,0.7405661
2,0.0,0.4714621
2,0.0,0.3100464
2,0.0,0.06405238
2,0.0,0.079326056
2,0.0,0.029976808
2,0.0,0.15799767
2,0.0,0.5121873
2,1.0,0.12003315
2,0.0,0.06760893
2,0.0,0.12432052
2,0.0,0.10989789
2,0.0,0.18972194
2,1.0,0.108928986
2,0.0,0.13653897
2,0.0,0.2954391
2,1.0,0.29679805
2,0.0,0.13379373
2,1.0,0.3548766
2,0.0,0.14146158
2,1.0,0.656947
2,0.0,0.19337799
2,1.0,0.07656516
2,0.0,0.098138146
2,1.0,0.106233925
2,0.0,0.073752575
2,0.0,0.053751253
2,0.0,0.074624486
